# RA           DEC          D_kpc    flag  
  211.994283   57.220486    11.226   0     
  230.361805   56.458716    12.128   0     
  127.682748   1.906299     11.611   0     
  205.416546   57.351826    10.9     0     
  134.152896   15.328582    9.0      0     
  195.010094   59.15297     10.379   0     
  208.155858   58.97491     11.036   0     
  221.842461   58.015357    11.71    0     
  163.214641   46.708424    8.683    0     
  166.68894    49.863574    8.871    0     
  142.480994   25.242402    8.089    0     
  136.462547   16.028036    8.575    0     
  130.90869    6.468387     9.974    0     
  130.861589   10.554028    9.992    0     
  166.61317    50.20175     8.867    0     
  180.943233   55.314336    9.648    0     
  148.95119    34.895408    8.081    0     
  163.255373   47.882292    8.685    0     
  129.298355   1.674257     10.685   0     
  131.683872   6.578289     9.692    0     
  130.869245   6.184983     9.989    0     
  172.18249    50.570298    9.173    0     
  157.463573   44.847129    8.391    0     
  195.008892   56.343284    10.379   0     
  125.754704   -8.095378    13.133   0     
  196.48423    58.719277    10.453   0     
  150.706307   37.134427    8.125    0     
  161.717613   45.466595    8.604    0     
  197.63452    59.271241    10.511   0     
  179.584864   55.471299    9.576    0     
  151.461827   40.588851    8.148    0     
  178.589139   54.562636    9.522    0     
  123.849436   -4.714107    15.311   0     
  126.194763   -0.285826    12.732   0     
  222.360516   58.004978    11.735   0     
  127.257696   -3.421773    11.901   0     
  233.143989   55.844188    12.265   0     
  121.203493   -12.933655   18.505   0     
  158.866685   42.761491    8.459    0     
  227.422712   57.551402    11.984   0     
  148.158158   35.739439    8.066    0     
  129.777771   6.45302      10.453   0     
  125.329195   -1.197136    13.561   0     
  144.615433   31.862327    8.048    0     
  146.116382   30.312192    8.044    0     
  161.885118   46.641284    8.613    0     
  234.691353   54.549932    12.341   0     
  155.264432   42.552913    8.292    0     
  133.07805    13.717169    9.266    0     
  158.683789   45.187831    8.45     0     
  121.90075    -10.051262   17.664   0     
  162.360163   46.654348    8.638    0     
  155.619761   41.945272    8.308    0     
  237.192578   55.762964    12.463   0     
  176.675403   54.850215    9.418    0     
  137.592945   21.348799    8.427    0     
  170.32174    52.951929    9.07     0     
  124.994619   -1.922595    13.932   0     
  213.720818   58.925207    11.311   0     
  220.132457   57.409688    11.626   0     
  171.717623   50.115218    9.147    0     
  151.752393   39.041252    8.157    0     
  143.815261   30.267875    8.058    0     
  138.129609   18.957013    8.367    0     
  147.369105   32.902503    8.054    0     
  217.430769   57.952203    11.493   0     
  162.68721    46.727614    8.655    0     
  208.241297   57.039548    11.04    0     
  145.155769   34.171701    8.044    0     
  145.598228   33.914553    8.043    0     
  189.551079   55.430705    10.1     0     
  137.217255   21.277305    8.472    0     
  149.395116   35.305245    8.09     0     
  141.678584   28.963904    8.118    0     
  130.754349   8.282016     10.034   0     
  143.083358   31.370664    8.073    0     
  132.810978   12.818429    9.34     0     
  198.895356   56.735708    10.575   0     
  121.287651   -13.776786   18.404   0     
  161.904373   45.468327    8.614    0     
  230.853156   55.081477    12.152   0     
  176.626679   53.090614    9.416    0     
  218.153554   59.397633    11.529   0     
  123.276244   -7.448089    16.003   0     
  131.692315   8.054243     9.689    0     
  223.370277   58.616728    11.785   0     
  145.73574    30.532138    8.043    0     
  146.211954   32.550252    8.045    0     
  128.342882   2.05245      11.202   0     
  120.659235   -15.24712    19.163   0     
  131.093629   11.004798    9.903    0     
  158.866478   43.831563    8.459    0     
  125.016425   -4.729111    13.907   0     
  158.694389   43.342255    8.451    0     
  137.835714   22.299613    8.399    0     
  122.207312   -11.115765   17.294   0     
  180.008989   55.211867    9.598    0     
  146.464838   33.439394    8.046    0     
  123.557246   -5.917522    15.664   0     
  181.459892   56.315659    9.676    0     
  174.892854   53.117497    9.321    0     
  160.875098   46.51836     8.56     0     
  133.149075   9.213515     9.247    0     
  120.858934   -13.906941   18.921   0     
  198.931919   58.153595    10.577   0     
  122.607509   -8.210855    16.81    0     
  144.280999   29.477355    8.051    0     
  191.742103   58.509596    10.213   0     
  155.91195    42.126297    8.32     0     
  184.270856   56.823522    9.825    0     
  143.872518   31.393347    8.057    0     
  204.192314   59.753685    10.839   0     
  132.586666   11.916913    9.405    0     
  185.225796   56.721893    9.875    0     
  164.184217   48.686171    8.735    0     
  130.696519   3.996064     10.057   0     
  129.827784   7.026467     10.43    0     
  195.393202   57.400627    10.398   0     
  138.475864   24.084228    8.333    0     
  166.356008   51.139715    8.853    0     
  133.816773   16.590567    9.078    0     
  156.070035   43.533319    8.327    0     
  133.26265    13.845791    9.217    0     
  151.886996   37.576431    8.162    0     
  137.066521   17.818909    8.492    0     
  146.22385    30.400039    8.045    0     
  127.17262    -0.635164    11.961   0     
  123.797411   -5.2738      15.374   0     
  119.122591   -16.525663   21.018   0     
  171.096533   51.651298    9.113    0     
  135.69856    15.594552    8.696    0     
  155.734088   43.114401    8.313    0     
  131.824216   11.762292    9.644    0     
  157.190078   45.241159    8.379    0     
  203.238306   59.756397    10.792   0     
  138.237771   21.570681    8.356    0     
  222.277562   57.599213    11.731   0     
  161.573482   45.920725    8.597    0     
  230.30679    57.642294    12.125   0     
  131.629215   11.610837    9.71     0     
  122.537267   -11.710876   16.895   0     
  139.34559    23.882939    8.256    0     
  125.199443   -8.074966    13.701   0     
  165.449118   48.957771    8.803    0     
  141.349948   28.988843    8.133    0     
  212.695785   59.394928    11.261   0     
  165.104677   50.292283    8.784    0     
  150.337871   35.188117    8.114    0     
  164.703034   48.053775    8.763    0     
  184.066728   55.216474    9.814    0     
  236.778534   56.468982    12.443   0     
  143.194819   27.304316    8.07     0     
  220.630454   57.334444    11.65    0     
  178.087482   52.766243    9.495    0     
  151.57025    38.401975    8.151    0     
  130.578631   4.847899     10.105   0     
  175.596977   53.171329    9.36     0     
  120.626066   -15.520676   19.203   0     
  191.642934   58.187502    10.207   0     
  137.429263   18.881768    8.446    0     
  134.801989   14.151159    8.862    0     
  145.102481   29.15785     8.045    0     
  129.766519   3.6641       10.459   0     
  191.544018   58.125217    10.202   0     
  222.710604   57.267908    11.753   0     
